LON,LAT,SIGMAE,SIGMAN
-134.20798739,58.82531458,0.010,0.010
-134.20346213,58.82954484,0.010,0.010
-134.19962953,58.83340076,0.010,0.010
-134.19453109,58.83695607,0.010,0.010
-134.18953215,58.84108102,0.010,0.010
-134.18366418,58.84617435,0.010,0.010
-134.17888008,58.85137455,0.010,0.010
-134.17447304,58.85746512,0.010,0.010
-134.17187513,58.86339876,0.011,0.011
