Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,,,,,-134.21122599,58.6442624,1109.832,Global,0.017,0.015,0.014,0.023,2.134,m,FIX,RTK,2025-07-09 11:50:33.8 UTC-08:00,2025-07-09 11:52:33.8 UTC-08:00,601,1.7,2.0,,,,-134.2066388,58.64632175,1182.05,358.5,,Global CS,10,9,0,0,0
2,,,,,,-134.2147757,58.6455565,1115.73,Global,0.034,0.052,0.015,0.062,2.134,m,FIX,RTK,2025-07-09 11:41:11.8 UTC-08:00,2025-07-09 11:43:11.8 UTC-08:00,600,1.7,2.0,,,,-134.2066388,58.64632175,1182.05,484.443,,Demo CS,10,9,0,0,0
3,,,,,,-134.21343581,58.64309028,1110.414,Global,0.011,0.013,0.012,0.017,2.134,m,FIX,RTK,2025-07-09 12:04:41.4 UTC-08:00,2025-07-09 12:06:41.4 UTC-08:00,599,1.4,1.5,,,,-134.2066388,58.64632175,1182.05,538.768,,Global CS,10,9,0,0,0
4,,,,,,-134.2173291,58.64420578,1113.762,Global,0.013,0.012,0.014,0.018,2.134,m,FIX,RTK,2025-07-09 11:54:42.8 UTC-08:00,2025-07-09 11:56:42.8 UTC-08:00,601,1.7,2.0,,,,-134.2066388,58.64632175,1182.05,667.367,,Demo CS,10,8,0,0,0
5,,,,,,-134.21603972,58.64190302,1110.118,Global,0.011,0.016,0.011,0.02,2.134,m,FIX,RTK,2025-07-09 12:15:07.2 UTC-08:00,2025-07-09 12:16:07.2 UTC-08:00,301,1.3,1.5,,,,-134.2066388,58.64632175,1182.05,738.464,,Global CS,9,8,0,0,0
6,,,,,,-134.2200965,58.64274246,1110.71,Global,0.015,0.016,0.011,0.022,2.134,m,FIX,RTK,2025-07-09 12:10:33.2 UTC-08:00,2025-07-09 12:11:33.2 UTC-08:00,301,1.3,1.5,,,,-134.2066388,58.64632175,1182.05,880.151,,Demo CS,9,8,0,0,0
7,,,,,,-134.21924237,58.64038422,1107.92,Global,0.011,0.012,0.011,0.016,2.134,m,FIX,RTK,2025-07-09 12:22:31.2 UTC-08:00,2025-07-09 12:23:31.2 UTC-08:00,300,1.3,1.5,,,,-134.2066388,58.64632175,1182.05,989.231,,Global CS,9,8,0,0,0
8,,,,,,-134.222503,58.64145578,1109.992,Global,0.011,0.012,0.011,0.016,2.134,m,FIX,RTK,2025-07-09 12:25:20.0 UTC-08:00,2025-07-09 12:26:20.0 UTC-08:00,301,1.3,1.4,,,,-134.2066388,58.64632175,1182.05,1071.301,,Demo CS,9,8,0,0,0
9,,,,,,-134.22235797,58.63893378,1108.98,Global,0.013,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-07-09 12:30:05.2 UTC-08:00,2025-07-09 12:31:05.2 UTC-08:00,300,1.4,1.6,,,,-134.2066388,58.64632175,1182.05,1231.271,,Global CS,8,8,0,0,0
10,,,,,,-134.2249564,58.64013819,1109.965,Global,0.012,0.013,0.011,0.017,2.134,m,FIX,RTK,2025-07-09 12:38:31.4 UTC-08:00,2025-07-09 12:39:31.4 UTC-08:00,300,1.6,1.8,,,,-134.2066388,58.64632175,1182.05,1269.363,,Demo CS,9,8,0,0,0
11,,,,,,-134.22465429,58.63781979,1109.607,Global,0.011,0.011,0.012,0.016,2.134,m,FIX,RTK,2025-07-09 12:49:23.2 UTC-08:00,2025-07-09 12:50:23.2 UTC-08:00,299,1.7,2.0,,,,-134.2066388,58.64632175,1182.05,1413.152,,Global CS,10,8,0,0,0
12,,,,,,-134.2280599,58.63848113,1109.571,Global,0.012,0.013,0.012,0.018,2.134,m,FIX,RTK,2025-07-09 12:51:26.8 UTC-08:00,2025-07-09 12:52:26.8 UTC-08:00,301,1.7,2.0,,,,-134.2066388,58.64632175,1182.05,1521.795,,Demo CS,10,8,0,0,0
13,,,,,,-134.22873491,58.63587626,1109.458,Global,0.012,0.011,0.012,0.017,2.134,m,FIX,RTK,2025-07-09 12:58:28.4 UTC-08:00,2025-07-09 12:59:28.4 UTC-08:00,300,1.7,2.0,,,,-134.2066388,58.64632175,1182.05,1733.873,,Global CS,9,8,0,0,0
14,,,,,,-134.232712,58.63648166,1111.485,Global,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-07-09 13:04:33.0 UTC-08:00,2025-07-09 13:05:33.0 UTC-08:00,301,1.6,1.9,,,,-134.2066388,58.64632175,1182.05,1870.796,,Demo CS,10,8,0,0,0
15,,,,,,-134.23268734,58.63398973,1106.129,Global,0.011,0.011,0.011,0.016,2.134,m,FIX,RTK,2025-07-09 13:07:04.4 UTC-08:00,2025-07-09 13:08:04.4 UTC-08:00,298,1.6,1.9,,,,-134.2066388,58.64632175,1182.05,2045.055,,Global CS,10,8,0,0,0
16,,,,,,-134.2371979,58.6344375,1110.859,Global,0.014,0.016,0.012,0.021,2.134,m,FIX,RTK,2025-07-09 13:36:11.2 UTC-08:00,2025-07-09 13:37:11.2 UTC-08:00,301,1.4,1.7,,,,-134.2066388,58.64632175,1182.05,2215.493,,Demo CS,10,9,0,0,0
17,,,,,,-134.23771509,58.63158027,1109.827,Global,0.01,0.011,0.011,0.015,2.134,m,FIX,RTK,2025-07-09 13:18:49.4 UTC-08:00,2025-07-09 13:19:49.4 UTC-08:00,301,1.2,1.4,,,,-134.2066388,58.64632175,1182.05,2441.427,,Global CS,10,8,0,0,0
18,,,,,,-134.2428831,58.6317338,1116.633,Global,0.011,0.012,0.013,0.016,2.134,m,FIX,RTK,2025-07-09 13:48:51.4 UTC-08:00,2025-07-09 13:49:51.4 UTC-08:00,301,1.6,1.8,,,,-134.2066388,58.64632175,1182.05,2660.381,,Demo CS,11,10,0,0,0
19,,,,,,-134.24250009,58.62930514,1116.688,Global,0.012,0.011,0.012,0.016,2.134,m,FIX,RTK,2025-07-09 13:30:04.0 UTC-08:00,2025-07-09 13:31:04.0 UTC-08:00,300,1.3,1.4,,,,-134.2066388,58.64632175,1182.05,2817.346,,Global CS,10,9,0,0,0
20,,,,,,-134.2471932,58.62968318,1122.861,Global,0.012,0.012,0.014,0.017,2.134,m,FIX,RTK,2025-07-09 13:59:29.8 UTC-08:00,2025-07-09 14:00:29.8 UTC-08:00,301,1.7,2.0,,,,-134.2066388,58.64632175,1182.05,2998.142,,Demo CS,13,10,0,0,0
21,,,,,,-134.24713732,58.6269631,1123.015,Global,0.011,0.013,0.014,0.017,2.134,m,FIX,RTK,2025-07-09 13:59:50.6 UTC-08:00,2025-07-09 14:00:50.6 UTC-08:00,299,1.7,2.0,,,,-134.2066388,58.64632175,1182.05,3192.062,,Global CS,12,10,0,0,0
22,,,,,,-134.2514695,58.62767818,1127.002,Global,0.012,0.011,0.013,0.016,2.134,m,FIX,RTK,2025-07-09 14:10:11.2 UTC-08:00,2025-07-09 14:11:11.2 UTC-08:00,301,1.6,1.8,,,,-134.2066388,58.64632175,1182.05,3331.487,,Demo CS,13,8,0,0,0
23,,,,,,-134.25120019,58.62506097,1124.599,Global,0.013,0.013,0.013,0.018,2.134,m,FIX,RTK,2025-07-09 14:08:24.2 UTC-08:00,2025-07-09 14:09:24.2 UTC-08:00,301,1.6,1.8,,,,-134.2066388,58.64632175,1182.05,3509.228,,Global CS,13,8,0,0,0
24,,,,,,-134.256102,58.62560654,1127.148,Global,0.011,0.012,0.012,0.016,2.134,m,FLOAT,RTK,2025-07-09 14:21:24.0 UTC-08:00,2025-07-09 14:22:24.0 UTC-08:00,301,1.6,1.8,,,,-134.2066388,58.64632175,1182.05,3685.829,,Demo CS,10,8,0,0,0
25,,,,,,-134.25636602,58.62269786,1126.498,Global,0.012,0.021,0.012,0.024,2.134,m,FLOAT,RTK,2025-07-09 14:19:38.0 UTC-08:00,2025-07-09 14:20:38.0 UTC-08:00,301,1.5,1.8,,,,-134.2066388,58.64632175,1182.05,3908.387,,Global CS,11,8,0,0,0
26,,,,,,-134.2605987,58.62367888,1128.988,Global,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-07-09 14:34:27.2 UTC-08:00,2025-07-09 14:35:27.2 UTC-08:00,301,1.3,1.5,,,,-134.2066388,58.64632175,1182.05,4023.983,,Demo CS,9,10,0,0,0
27,,,,,,-134.26091312,58.62040611,1127.617,Global,0.014,0.011,0.011,0.018,2.134,m,FIX,RTK,2025-07-09 14:33:58.4 UTC-08:00,2025-07-09 14:34:58.4 UTC-08:00,301,1.3,1.5,,,,-134.2066388,58.64632175,1182.05,4275.619,,Global CS,9,10,0,0,0
28,,,,,,-134.266551,58.62111067,1129.22,Global,0.011,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-07-09 14:48:57.6 UTC-08:00,2025-07-09 14:49:57.6 UTC-08:00,301,1.5,1.7,,,,-134.2066388,58.64632175,1182.05,4472.826,,Demo CS,10,9,0,0,0
29,,,,,,-134.26557875,58.61832632,1132.155,Global,0.011,0.013,0.011,0.017,2.134,m,FIX,RTK,2025-07-09 14:45:04.0 UTC-08:00,2025-07-09 14:46:04.0 UTC-08:00,299,1.5,1.7,,,,-134.2066388,58.64632175,1182.05,4632.012,,Global CS,10,9,0,0,0
30,,,,,,-134.2710156,58.61920868,1131.837,Global,0.014,0.013,0.011,0.019,2.134,m,FIX,RTK,2025-07-09 15:00:21.4 UTC-08:00,2025-07-09 15:01:21.4 UTC-08:00,301,1.3,1.5,,,,-134.2066388,58.64632175,1182.05,4807.776,,Demo CS,11,8,0,0,0
31,,,,,,-134.26970018,58.61632339,1136.709,Global,0.011,0.011,0.012,0.016,2.134,m,FIX,RTK,2025-07-09 15:00:51.6 UTC-08:00,2025-07-09 15:01:51.6 UTC-08:00,301,1.3,1.5,,,,-134.2066388,58.64632175,1182.05,4959.32,,Global CS,11,8,0,0,0
