1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 3600000062392621
Is Mission Active?  true
Mission Start:  Fri Jul 21 15:13:00 AKDT 2023
Sample Rate:  Every 1 minute(s)
Number of Mission Samples:  1578
Total Samples:  3051
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/21/23 5:40:00 PM,C,6
7/21/23 5:41:00 PM,C,6
7/21/23 5:42:00 PM,C,6
7/21/23 5:43:00 PM,C,6
7/21/23 5:44:00 PM,C,6
7/21/23 5:45:00 PM,C,6
7/21/23 5:46:00 PM,C,6
7/21/23 5:47:00 PM,C,6
7/21/23 5:48:00 PM,C,6
7/21/23 5:49:00 PM,C,6
7/21/23 5:50:00 PM,C,6
7/21/23 5:51:00 PM,C,6
7/21/23 5:52:00 PM,C,6
7/21/23 5:53:00 PM,C,6
7/21/23 5:54:00 PM,C,6
7/21/23 5:55:00 PM,C,6
7/21/23 5:56:00 PM,C,6
7/21/23 5:57:00 PM,C,6
7/21/23 5:58:00 PM,C,6
7/21/23 5:59:00 PM,C,6
7/21/23 6:00:00 PM,C,6
7/21/23 6:01:00 PM,C,6
7/21/23 6:02:00 PM,C,6
7/21/23 6:03:00 PM,C,6
7/21/23 6:04:00 PM,C,6
7/21/23 6:05:00 PM,C,5.5
7/21/23 6:06:00 PM,C,5.5
7/21/23 6:07:00 PM,C,5.5
7/21/23 6:08:00 PM,C,5.5
7/21/23 6:09:00 PM,C,5.5
7/21/23 6:10:00 PM,C,5.5
7/21/23 6:11:00 PM,C,5.5
7/21/23 6:12:00 PM,C,5.5
7/21/23 6:13:00 PM,C,5.5
7/21/23 6:14:00 PM,C,5.5
7/21/23 6:15:00 PM,C,5.5
7/21/23 6:16:00 PM,C,5.5
7/21/23 6:17:00 PM,C,5.5
7/21/23 6:18:00 PM,C,5.5
7/21/23 6:19:00 PM,C,5.5
7/21/23 6:20:00 PM,C,5.5
